出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘,普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
1111004,111,2,5388,中磊電子股份有限公司,通信網路業,3.09,10.0000,27889982.00,940046.00,-11531.00,768512.00
1111004,111,2,5434,崇越科技股份有限公司,電子通路業,8.59,10.0000,25807911.00,1493304.00,611462.00,1592787.00
1111004,111,2,5469,瀚宇博德股份有限公司,電子零組件業,2.63,10.0000,23798508.00,2252095.00,802376.00,2142903.00
1111004,111,2,5471,松翰科技股份有限公司,半導體業,2.76,10.0000,2054048.00,444412.00,104279.00,463613.00
1111004,111,2,5484,慧友電子股份有限公司,光電業,-1.31,10.0000,124822.00,-34316.00,-45658.00,-78615.00
1111004,111,2,5515,建國工程股份有限公司,建材營造,0.26,10.0000,2466196.00,183001.00,-100958.00,65526.00
1111004,111,2,5519,隆大營建事業股份有限公司,建材營造,1.05,10.0000,1833301.00,288406.00,2044.00,229343.00
1111004,111,2,5521,工信工程股份有限公司,建材營造,-0.06,10.0000,2020963.00,-18096.00,18034.00,-31284.00
1111004,111,2,5522,遠雄建設事業股份有限公司,建材營造,3.18,10.0000,11777658.00,3165319.00,43166.00,2484845.00
1111004,111,2,5525,順天建設股份有限公司,建材營造,2.01,10.0000,3902432.00,598182.00,-10074.00,563714.00
1111004,111,2,5531,鄉林建設事業股份有限公司,建材營造,-0.69,10.0000,725632.00,-463355.00,-479484.00,-805826.00
1111004,111,2,5533,皇鼎建設開發股份有限公司,建材營造,2.83,10.0000,3880312.00,803667.00,219553.00,808578.00
1111004,111,2,5534,長虹建設股份有限公司,建材營造,5.80,10.0000,5102303.00,2030645.00,2714.00,1684827.00
1111004,111,2,5538,開曼東明控股股份有限公司,鋼鐵工業,3.66,10.0000,7799384.00,961739.00,-39369.00,740120.00
1111004,111,2,5546,永固集團股份有限公司,建材營造,1.10,10.0000,2296542.00,131087.00,9929.00,101765.00
1111004,111,2,5607,遠雄自貿港投資控股股份有限公司,航運業,2.21,10.0000,1624324.00,812951.00,-33272.00,630681.00
1111004,111,2,5608,四維航業股份有限公司,航運業,3.65,10.0000,3508618.00,1679547.00,-230875.00,1147133.00
1111004,111,2,5706,鳳凰國際旅行社股份有限公司,觀光事業,-0.59,10.0000,46079.00,-30760.00,-14262.00,-37602.00
1111004,111,2,5871,中租控股股份有限公司,其他,8.87,10.0000,41092932.00,18943351.00,1334297.00,14734040.00
1111004,111,2,5876,上海商業儲蓄銀行股份有限公司,金融保險業,1.62,10.0000,20318803.00,--,--,9198430.00
1111004,111,2,5880,合作金庫金融控股股份有限公司,金融保險業,0.64,10.0000,23787464.00,--,--,9348078.00
1111004,111,2,5906,台南生活(開曼)股份有限公司,貿易百貨,1.04,10.0000,781309.00,67399.00,-10515.00,39698.00
1111004,111,2,5907,Grand Ocean RetailGroupLimited,貿易百貨,-1.20,10.0000,2260822.00,108361.00,-283213.00,-234515.00
1111004,111,2,6005,群益金鼎證券股份有限公司,金融保險業,0.01,10.0000,3510469.00,-20184.00,556277.00,156637.00
1111004,111,2,6024,群益期貨股份有限公司,金融保險業,1.50,10.0000,1365243.00,246304.00,128155.00,314702.00
1111004,111,2,6108,競國實業股份有限公司,電子零組件業,0.06,10.0000,3527229.00,-111518.00,114042.00,9082.00
